picture files  	th'hold	corrections    	Miller	LAI2000	°	Lang	G. & al	N.& C.	°      	Fmv	Frv	T. & al	°      	Fmv	Frv
LDF2_3_20140721.JPG	128	S. & al. (2007)	0.08	0.11	60	0.08	0.09	0.12	90	99.9%	-	0.10	90	100%	-
LDF2_3_20140721.JPG	128	C. & C. (1995) 	0.12	0.16	62	0.12	0.13	0.18	90	99.9%	99.7%	0.20	90	100%	0.000%
LDF2_3_20140721.JPG	128	S.& al.+ C.& C.	0.12	0.16	62	0.12	0.13	0.18	90	99.9%	99.8%	0.20	90	100%	0.000%
LDF2_4_20140721.JPG	128	-              	0.09	0.11	60	0.09	0.09	0.13	90	99.9%	-	0.10	90	100%	-
LDF2_4_20140721.JPG	128	S. & al. (2007)	0.08	0.11	60	0.08	0.09	0.13	90	99.9%	-	0.10	90	100%	-
LDF2_4_20140721.JPG	128	C. & C. (1995) 	0.12	0.16	62	0.12	0.13	0.19	90	99.9%	99.7%	0.21	90	100%	0.000%
LDF2_4_20140721.JPG	128	S.& al.+ C.& C.	0.12	0.16	62	0.12	0.13	0.18	90	99.9%	99.7%	0.20	90	100%	0.000%
synthesis      	-	-              	0.59	0.62	60	0.59	0.54	0.56	67	82.1%	-	0.61	66	79.9%	-
synthesis      	-	S. & al. (2007)	0.58	0.61	60	0.58	0.53	0.55	67	82.1%	-	0.60	66	80.0%	-
synthesis      	-	C. & C. (1995) 	0.68	0.71	60	0.68	0.63	0.64	68	82.1%	46.7%	0.71	68	79.9%	38.0%
synthesis      	-	S.& al.+ C.& C.	0.67	0.71	60	0.67	0.62	0.64	68	82.1%	46.9%	0.71	68	80.0%	37.9%
