"","Site","Plot","Density","Slope","Trees.Shrubs","Species","Leaf.Area","Area.Sampled","LAI"
"94","HDS7","HDS7.2","HIGH","SLOPED","SHRUBS","SALIX",0.0592116927259704,5,0.0118423385451941
"95","HDS7","HDS7.3","HIGH","SLOPED","SHRUBS","SALIX",0.0264272553830779,5,0.00528545107661559
"96","HDS8","HDS8.1","HIGH","SLOPED","SHRUBS","SALIX",0.0125676703845575,5,0.00251353407691151
"97","HDS8","HDS8.3","HIGH","SLOPED","SHRUBS","SALIX",0.00135459437921585,5,0.00027091887584317
"98","LBR","LBR.1","LOW","FLAT","SHRUBS","SALIX",0.0797878205088991,10,0.00797878205088991
"99","LBR","LBR.2","LOW","FLAT","SHRUBS","SALIX",0.410586386996383,10,0.0410586386996383
"100","LBR","LBR.3","LOW","FLAT","SHRUBS","SALIX",0.42735200933548,10,0.042735200933548
"101","LDF1","LDF1.1","LOW","FLAT","SHRUBS","SALIX",0.0894591753123298,5,0.017891835062466
"102","LDF1","LDF1.2","LOW","FLAT","SHRUBS","SALIX",0.472565179935818,5,0.0945130359871636
"103","LDF1","LDF1.3","LOW","FLAT","SHRUBS","SALIX",1.10139935158131,5,0.220279870316262
"104","LDF2","LDF2.1","LOW","FLAT","SHRUBS","SALIX",0.381202330586322,5,0.0762404661172643
"105","LDF2","LDF2.2","LOW","FLAT","SHRUBS","SALIX",0.0831455207799306,5,0.0166291041559861
"106","LDF2","LDF2.3","LOW","FLAT","SHRUBS","SALIX",0.107122634914096,5,0.0214245269828192
"107","LDF3","LDF3.1","LOW","FLAT","SHRUBS","SALIX",0.185966292168817,2.5,0.0743865168675268
"108","LDF3","LDF3.2","LOW","FLAT","SHRUBS","SALIX",0.121256114427465,2.5,0.0485024457709862
"109","LDF3","LDF3.3","LOW","FLAT","SHRUBS","SALIX",0.0437511657003236,2.5,0.0175004662801294
"110","LDS1","LDS1.1","LOW","SLOPED","SHRUBS","SALIX",0.00871740733633183,5,0.00174348146726637
"111","LDS1","LDS1.2","LOW","SLOPED","SHRUBS","SALIX",0.1040332100205,5,0.0208066420041
"112","LDS1","LDS1.3","LOW","SLOPED","SHRUBS","SALIX",0.0997401322291799,5,0.019948026445836
"113","LDS2","LDS2.1","LOW","SLOPED","SHRUBS","SALIX",0.162578032655285,5,0.032515606531057
"114","LDS2","LDS2.2","LOW","SLOPED","SHRUBS","SALIX",0.00583725110006164,5,0.00116745022001233
"115","LDS2","LDS2.3","LOW","SLOPED","SHRUBS","SALIX",0.122164527971134,5,0.0244329055942268
"116","LDS3","LDS3.1","LOW","SLOPED","SHRUBS","SALIX",0.032259339768761,5,0.00645186795375219
"117","LDS3","LDS3.3","LOW","SLOPED","SHRUBS","SALIX",0.226931918346375,5,0.0453863836692749
"118","MDF1","MDF1.1","MED","FLAT","SHRUBS","SALIX",0.163995380884908,5,0.0327990761769816
"119","MDF1","MDF1.2","MED","FLAT","SHRUBS","SALIX",0.552165788960742,5,0.110433157792148
"120","MDF1","MDF1.3","MED","FLAT","SHRUBS","SALIX",0.111778690074507,5,0.0223557380149014
"121","MDF2","MDF2.2","MED","FLAT","SHRUBS","SALIX",0.537573443659848,5,0.10751468873197
"122","MDF2","MDF2.3","MED","FLAT","SHRUBS","SALIX",0.136570916164797,5,0.0273141832329595
"123","MDF3","MDF3.1","MED","FLAT","SHRUBS","SALIX",0.00126340232155419,5,0.000252680464310838
"124","MDF4","MDF4.1","MED","FLAT","SHRUBS","SALIX",0.046154386043199,5,0.00923087720863979
"125","MDF4","MDF4.2","MED","FLAT","SHRUBS","SALIX",0.0777817298408939,5,0.0155563459681788
"126","MDF4","MDF4.3","MED","FLAT","SHRUBS","SALIX",0.200691015325112,5,0.0401382030650223
"127","MDS1","MDS1.2","MED","SLOPED","SHRUBS","SALIX",0.0734417416217421,5,0.0146883483243484
"128","MDS1","MDS1.3","MED","SLOPED","SHRUBS","SALIX",0.00753454609799319,5,0.00150690921959864
"129","MDS2","MDS2.1","MED","SLOPED","SHRUBS","SALIX",0.0170412779447519,5,0.00340825558895039
"130","MDS2","MDS2.2","MED","SLOPED","SHRUBS","SALIX",0.0109747852709024,5,0.00219495705418048
"131","DavH","DavH.15-Oct","HIGH","FLAT","TREES","LARIX",6.09746276736521,10,0.609746276736521
"132","DavH","DavH.30-35","HIGH","FLAT","TREES","LARIX",9.60517739710226,10,0.960517739710226
"133","DavH","DavH.50-55","HIGH","FLAT","TREES","LARIX",15.7287536286314,10,1.57287536286314
"134","DavH","DavH.70-75","HIGH","FLAT","TREES","LARIX",11.0445841268733,10,1.10445841268733
"135","DavH","DavH.90-95","HIGH","FLAT","TREES","LARIX",15.2317034357764,10,1.52317034357764
"136","HBR","HBR.1","HIGH","FLAT","TREES","LARIX",52.247756541996,40,1.3061939135499
"137","HBR","HBR.2","HIGH","FLAT","TREES","LARIX",62.7390914697799,40,1.5684772867445
"138","HBR","HBR.3","HIGH","FLAT","TREES","LARIX",55.3073575239032,40,1.38268393809758
"139","HDF1","HDF1.1","HIGH","FLAT","TREES","LARIX",85.1437772938413,60,1.41906295489735
"140","HDF1","HDF1.2","HIGH","FLAT","TREES","LARIX",127.807115527718,60,2.13011859212863
"141","HDF1","HDF1.3","HIGH","FLAT","TREES","LARIX",59.6412682938064,60,0.994021138230106
"142","HDF2","HDF2.1","HIGH","FLAT","TREES","LARIX",60.326643565879,60,1.00544405943132
"143","HDF2","HDF2.2","HIGH","FLAT","TREES","LARIX",48.8458312691453,60,0.814097187819088
"144","HDF2","HDF2.3","HIGH","FLAT","TREES","LARIX",60.9797299924881,60,1.01632883320813
"145","HDR","HDR.1","HIGH","FLAT","TREES","LARIX",46.8813918452915,40,1.17203479613229
"146","HDR","HDR.2","HIGH","FLAT","TREES","LARIX",64.7835584533551,40,1.61958896133388
"147","HDR","HDR.3","HIGH","FLAT","TREES","LARIX",34.1258122464483,40,0.853145306161208
"148","HDS1","HDS1.1","HIGH","SLOPED","TREES","LARIX",75.5057377046357,60,1.25842896174393
"149","HDS1","HDS1.2","HIGH","SLOPED","TREES","LARIX",99.1734989168842,60,1.65289164861474
"150","HDS1","HDS1.3","HIGH","SLOPED","TREES","LARIX",88.4266176284503,60,1.47377696047417
"151","HDS2","HDS2.1","HIGH","SLOPED","TREES","LARIX",94.2136919764971,60,1.57022819960829
"152","HDS2","HDS2.2","HIGH","SLOPED","TREES","LARIX",79.2596209837894,60,1.32099368306316
"153","HDS2","HDS2.3","HIGH","SLOPED","TREES","LARIX",83.6838421694912,60,1.39473070282485
"154","HDS4","HDS4.1","HIGH","SLOPED","TREES","LARIX",89.6369937200196,60,1.49394989533366
"155","HDS4","HDS4.2","HIGH","SLOPED","TREES","LARIX",54.470527636816,60,0.907842127280267
"156","HDS4","HDS4.3","HIGH","SLOPED","TREES","LARIX",70.7208365460118,60,1.1786806091002
"157","HDS5","HDS5.1","HIGH","SLOPED","TREES","LARIX",16.9560226529241,30,0.56520075509747
"158","HDS5","HDS5.2","HIGH","SLOPED","TREES","LARIX",37.1132418389645,30,1.23710806129882
"159","HDS5","HDS5.3","HIGH","SLOPED","TREES","LARIX",31.0188325804234,30,1.03396108601411
"160","HDS6","HDS6.1","HIGH","SLOPED","TREES","LARIX",66.4140247858833,60,1.10690041309806
"161","HDS6","HDS6.2","HIGH","SLOPED","TREES","LARIX",130.510291849589,60,2.17517153082649
"162","HDS6","HDS6.3","HIGH","SLOPED","TREES","LARIX",100.622901736292,60,1.67704836227153
"163","HDS7","HDS7.1","HIGH","SLOPED","TREES","LARIX",24.8257065148773,30,0.827523550495911
"164","HDS7","HDS7.2","HIGH","SLOPED","TREES","LARIX",53.657155571519,30,1.78857185238397
"165","HDS7","HDS7.3","HIGH","SLOPED","TREES","LARIX",34.6441516534867,30,1.15480505511622
"166","HDS8","HDS8.1","HIGH","SLOPED","TREES","LARIX",40.4580250276779,30,1.34860083425593
"167","HDS8","HDS8.2","HIGH","SLOPED","TREES","LARIX",46.8411568041831,30,1.56137189347277
"168","HDS8","HDS8.3","HIGH","SLOPED","TREES","LARIX",41.4998932576556,30,1.38332977525519
"169","LBR","LBR.1","LOW","FLAT","TREES","LARIX",34.1221779770352,80,0.42652722471294
"170","LBR","LBR.2","LOW","FLAT","TREES","LARIX",22.0932405824129,80,0.276165507280161
"171","LBR","LBR.3","LOW","FLAT","TREES","LARIX",21.9887228894152,80,0.27485903611769
"172","LDF1","LDF1.1","LOW","FLAT","TREES","LARIX",1.287330345,120,0.010727752875
"173","LDF1","LDF1.2","LOW","FLAT","TREES","LARIX",99.7906581364806,120,0.831588817804005
"174","LDF1","LDF1.3","LOW","FLAT","TREES","LARIX",28.4851752533748,120,0.23737646044479
"175","LDF2","LDF2.1","LOW","FLAT","TREES","LARIX",26.3051213753029,120,0.219209344794191
"176","LDF2","LDF2.2","LOW","FLAT","TREES","LARIX",59.1221256692843,120,0.492684380577369
"177","LDF2","LDF2.3","LOW","FLAT","TREES","LARIX",67.8456859766794,120,0.565380716472329
"178","LDF3","LDF3.1","LOW","FLAT","TREES","LARIX",33.21567207,120,0.27679726725
"179","LDF3","LDF3.2","LOW","FLAT","TREES","LARIX",43.0809561,120,0.3590079675
"180","LDF3","LDF3.3","LOW","FLAT","TREES","LARIX",19.6131956000562,120,0.163443296667135
"181","LDR","LDR.1","LOW","FLAT","TREES","LARIX",0,80,0
"182","LDR","LDR.2","LOW","FLAT","TREES","LARIX",4.71596265,80,0.058949533125
"183","LDR","LDR.3","LOW","FLAT","TREES","LARIX",42.8783172863076,80,0.535978966078846
"184","LDS1","LDS1.1","LOW","SLOPED","TREES","LARIX",543.433806252856,240,2.26430752605357
"185","LDS1","LDS1.2","LOW","SLOPED","TREES","LARIX",389.080923443307,240,1.62117051434711
"186","LDS1","LDS1.3","LOW","SLOPED","TREES","LARIX",417.137302587632,240,1.73807209411514
"187","LDS2","LDS2.1","LOW","SLOPED","TREES","LARIX",157.387861151996,240,0.655782754799981
"188","LDS2","LDS2.2","LOW","SLOPED","TREES","LARIX",277.351167624296,240,1.15562986510123
"189","LDS2","LDS2.3","LOW","SLOPED","TREES","LARIX",355.655391094821,240,1.48189746289509
"190","LDS3","LDS3.1","LOW","SLOPED","TREES","LARIX",117.432617600143,240,0.489302573333928
"191","LDS3","LDS3.2","LOW","SLOPED","TREES","LARIX",182.609081352376,240,0.760871172301567
"192","LDS3","LDS3.3","LOW","SLOPED","TREES","LARIX",243.710428800647,240,1.0154601200027
"193","MDF1","MDF1.1","MED","FLAT","TREES","LARIX",129.165631807166,120,1.07638026505972
"194","MDF1","MDF1.2","MED","FLAT","TREES","LARIX",115.765717590191,120,0.964714313251588
"195","MDF1","MDF1.3","MED","FLAT","TREES","LARIX",24.1906193199381,120,0.201588494332817
"196","MDF2","MDF2.1","MED","FLAT","TREES","LARIX",22.9046174907649,120,0.190871812423041
"197","MDF2","MDF2.2","MED","FLAT","TREES","LARIX",73.8163953771444,120,0.61513662814287
"198","MDF2","MDF2.3","MED","FLAT","TREES","LARIX",61.0025927887647,120,0.508354939906373
"199","MDF3","MDF3.1","MED","FLAT","TREES","LARIX",94.9375765161835,120,0.791146470968196
"200","MDF3","MDF3.2","MED","FLAT","TREES","LARIX",123.514787164906,120,1.02928989304089
"201","MDF3","MDF3.3","MED","FLAT","TREES","LARIX",99.4558236415172,120,0.828798530345976
"202","MDF4","MDF4.1","MED","FLAT","TREES","LARIX",76.0316672382152,120,0.633597226985126
"203","MDF4","MDF4.2","MED","FLAT","TREES","LARIX",54.3151953025233,120,0.452626627521027
"204","MDF4","MDF4.3","MED","FLAT","TREES","LARIX",70.6290016403966,120,0.588575013669972
"205","MDS1","MDS1.1","MED","SLOPED","TREES","LARIX",112.509025421402,60,1.87515042369004
"206","MDS1","MDS1.2","MED","SLOPED","TREES","LARIX",67.9593382867821,60,1.13265563811304
"207","MDS1","MDS1.3","MED","SLOPED","TREES","LARIX",52.6262043961835,60,0.877103406603058
"208","MDS2","MDS2.1","MED","SLOPED","TREES","LARIX",143.895888375639,120,1.19913240313033
"209","MDS2","MDS2.2","MED","SLOPED","TREES","LARIX",89.3713638169154,120,0.744761365140961
"210","MDS2","MDS2.3","MED","SLOPED","TREES","LARIX",123.755396688052,120,1.03129497240043
